"site_ID","M_YEAR","total_abund","site_rel_SR","garden_long_grass_area","garden_ivy","garden_long_grass","garden_direction","garden_size","Urban_100m","Arable_100m","Woodland_100m","Grassland_100m","Urban_250m","Arable_250m","Woodland_250m","Grassland_250m","Urban_500m","Arable_500m","Woodland_500m","Grassland_500m","woodland_dist_m","grassland_dist_m","n_days"
249,2017,64.1607136524547,0.172413793103448,5,1,1,5,2,1,0,0,0,1,0,0,0,1,0,0,0,598.658297017239,666.895164305464,25
249,2018,73.2809428644919,0.137931034482759,5,1,1,5,2,1,0,0,0,1,0,0,0,1,0,0,0,598.658297017239,666.895164305464,19
249,2019,45.8162458510678,0.172413793103448,5,1,1,5,2,1,0,0,0,1,0,0,0,1,0,0,0,598.658297017239,666.895164305464,21
250,2016,38.9576404349726,0.103448275862069,0,2,2,5,2,0.681216980693385,0,0,0.318783019306615,0.568778102817276,0,0,0.431221897182724,0.667012830784232,0,0.00425294466952227,0.328734224546246,455.215903715508,29.4608941598426,5
250,2018,47.1225969053973,0.172413793103448,0,2,2,5,2,0.681216980693385,0,0,0.318783019306615,0.568778102817276,0,0,0.431221897182724,0.667012830784232,0,0.00425294466952227,0.328734224546246,455.215903715508,29.4608941598426,4
250,2019,94.0502785264093,0.275862068965517,0,2,2,5,2,0.681216980693385,0,0,0.318783019306615,0.568778102817276,0,0,0.431221897182724,0.667012830784232,0,0.00425294466952227,0.328734224546246,455.215903715508,29.4608941598426,12
250,2020,51.8938626012471,0.103448275862069,0,2,2,5,2,0.681216980693385,0,0,0.318783019306615,0.568778102817276,0,0,0.431221897182724,0.667012830784232,0,0.00425294466952227,0.328734224546246,455.215903715508,29.4608941598426,7
250,2021,79.7060279054729,0.172413793103448,0,2,2,5,2,0.681216980693385,0,0,0.318783019306615,0.568778102817276,0,0,0.431221897182724,0.667012830784232,0,0.00425294466952227,0.328734224546246,455.215903715508,29.4608941598426,9
251,2016,50.609813360337,0.193548387096774,4,1,1,5,3,1,0,0,0,0.776237436674441,0.223379989884435,0,0.000382573441123201,0.584425253354672,0.356274528160755,0.00456351933769114,0.0471412332488347,457.496642162064,240.016353403695,2
252,2016,29.0769826514033,0.266666666666667,4000,1,1,7,4,0,0,0,1,0.0345320330688756,0.00271554356797137,0.203504020636118,0.759248402727035,0.0790669711294204,0.212662962316469,0.127583987159072,0.572383527671866,133.073821377479,0,5
253,2016,27.9756685879509,0.206896551724138,20,2,1,5,2,1,0,0,0,1,0,0,0,0.841043226120711,0.0548962830489573,0.00376442884216082,0.100296061988171,467.285204677083,275.331408548699,4
254,2018,43.3846766801807,0.344827586206897,0,1,2,3,3,1,0,0,0,0.897446349593781,0.0246895195431654,0,0.0778641308630535,0.52717556774054,0.170642568912275,0.0248971627419946,0.274159773212939,384.620292316504,158.487626479314,5
254,2019,170.841873583841,0.310344827586207,0,1,2,3,3,1,0,0,0,0.897446349593781,0.0246895195431654,0,0.0778641308630535,0.52717556774054,0.170642568912275,0.0248971627419946,0.274159773212939,384.620292316504,158.487626479314,9
254,2021,69.8338405652214,0.241379310344828,0,1,2,3,3,1,0,0,0,0.897446349593781,0.0246895195431654,0,0.0778641308630535,0.52717556774054,0.170642568912275,0.0248971627419946,0.274159773212939,384.620292316504,158.487626479314,30
255,2017,104.79426789572,0.275862068965517,0,1,2,4,2,1,0,0,0,0.79869978239942,0.0461894329851112,0,0.155110784615469,0.493677007116354,0.178277152443831,0.0366584142957247,0.286099152166242,361.379762548364,109.30395597587,13
256,2020,58.0493822725497,0.3,3000,2,1,8,4,0.610575730072952,0.215040018406607,0.0236693542231618,0.150714897297279,0.25736282685452,0.529598891857351,0.0365555188042982,0.176482762483831,0.194953403314716,0.56092287746921,0.0320576492852252,0.21206606993085,80.1846542409196,56.5542438587256,10
257,2017,38.1034253469277,0.225806451612903,0,2,2,8,2,0.414487527118967,0.585512472881033,0,0,0.528750082684558,0.424032908728382,0,0.0472170085870606,0.350284821210263,0.419801437727193,0.0147062784441357,0.215207462618409,356.19530039623,162.989560131805,10
257,2019,30.3459110155374,0.129032258064516,0,2,2,8,2,0.414487527118967,0.585512472881033,0,0,0.528750082684558,0.424032908728382,0,0.0472170085870606,0.350284821210263,0.419801437727193,0.0147062784441357,0.215207462618409,356.19530039623,162.989560131805,9
257,2021,36.6186265134637,0.225806451612903,0,2,2,8,2,0.414487527118967,0.585512472881033,0,0,0.528750082684558,0.424032908728382,0,0.0472170085870606,0.350284821210263,0.419801437727193,0.0147062784441357,0.215207462618409,356.19530039623,162.989560131805,7
258,2016,40.5244422806393,0.258064516129032,5,1,1,NA,3,0.592752141902079,0,0.0848872131102991,0.322360644987622,0.498309194530558,0.0137272778358797,0.100630747381456,0.387332780252107,0.279377976684473,0.164709451698522,0.157093840932212,0.398818730684793,34.9681972245788,38.3544115454712,9
258,2017,67.6813049144882,0.225806451612903,5,1,1,NA,3,0.592752141902079,0,0.0848872131102991,0.322360644987622,0.498309194530558,0.0137272778358797,0.100630747381456,0.387332780252107,0.279377976684473,0.164709451698522,0.157093840932212,0.398818730684793,34.9681972245788,38.3544115454712,9
258,2018,54.6167855657686,0.290322580645161,5,1,1,NA,3,0.592752141902079,0,0.0848872131102991,0.322360644987622,0.498309194530558,0.0137272778358797,0.100630747381456,0.387332780252107,0.279377976684473,0.164709451698522,0.157093840932212,0.398818730684793,34.9681972245788,38.3544115454712,10
259,2017,58.4535506559105,0.275862068965517,7,1,1,4,2,0.762741037833597,0,0,0.237258962166403,0.703389609302825,0,0,0.296610390697175,0.835765240526127,0,0.0030725324367454,0.161162227037127,450.645286406127,42.2586007657957,8
259,2018,46.3756308895931,0.206896551724138,7,1,1,4,2,0.762741037833597,0,0,0.237258962166403,0.703389609302825,0,0,0.296610390697175,0.835765240526127,0,0.0030725324367454,0.161162227037127,450.645286406127,42.2586007657957,4
259,2019,20.8594134443281,0.172413793103448,7,1,1,4,2,0.762741037833597,0,0,0.237258962166403,0.703389609302825,0,0,0.296610390697175,0.835765240526127,0,0.0030725324367454,0.161162227037127,450.645286406127,42.2586007657957,3
260,2021,17.8613696573664,0.310344827586207,20,1,1,8,2,1,0,0,0,0.954236083041006,0,0,0.0457639169589942,0.814976080257183,0,0,0.185023919742817,589.432569343203,201.148377465292,3
