"site_ID","M_YEAR","total_abund","site_rel_SR","garden_long_grass_area","garden_ivy","garden_long_grass","garden_direction","garden_size","Urban_100m","Arable_100m","Woodland_100m","Grassland_100m","Urban_250m","Arable_250m","Woodland_250m","Grassland_250m","Urban_500m","Arable_500m","Woodland_500m","Grassland_500m","woodland_dist_m","grassland_dist_m","n_days"
710,2018,19.7106014730874,0.5,2,1,1,5,2,1,0,0,0,1,0,0,0,1,0,0,0,595.793524365175,577.186570748506,52
710,2020,23.5433151192324,0.5,2,1,1,5,2,1,0,0,0,1,0,0,0,1,0,0,0,595.793524365175,577.186570748506,89
710,2021,22.1287415884796,0.3,2,1,1,5,2,1,0,0,0,1,0,0,0,1,0,0,0,595.793524365175,577.186570748506,57
711,2017,5.55096140355969,0.3,1,2,1,3,1,1,0,0,0,1,0,0,0,0.995284441857383,0,0,0.00471555814261685,974.808517901655,430.166037959024,26
711,2019,8.69112714571954,0.3,1,2,1,3,1,1,0,0,0,1,0,0,0,0.995284441857383,0,0,0.00471555814261685,974.808517901655,430.166037959024,50
711,2020,4.14301624172074,0.4,1,2,1,3,1,1,0,0,0,1,0,0,0,0.995284441857383,0,0,0.00471555814261685,974.808517901655,430.166037959024,78
711,2021,5.41476933898266,0.3,1,2,1,3,1,1,0,0,0,1,0,0,0,0.995284441857383,0,0,0.00471555814261685,974.808517901655,430.166037959024,69
712,2020,7.09305914622424,0.3,0,1,2,3,3,1,0,0,0,0.879406885675898,0,0.0278693091160574,0,0.781173932730343,0,0.022795341282884,0.000191808518666116,182.273549591097,494.794801671532,50
713,2016,10.0080829774139,0.5,0,1,2,4,3,0.774196288898318,0,0.223771085038546,0.00203262606313641,0.579431995787726,0,0.180272240326615,0.24029576388566,0.520823818031147,0,0.125739971467655,0.353436210501198,49.4480438787238,97.3596513782623,29
713,2017,4.60851732653771,0.5,0,1,2,4,3,0.774196288898318,0,0.223771085038546,0.00203262606313641,0.579431995787726,0,0.180272240326615,0.24029576388566,0.520823818031147,0,0.125739971467655,0.353436210501198,49.4480438787238,97.3596513782623,40
713,2018,9.52222381752835,0.4,0,1,2,4,3,0.774196288898318,0,0.223771085038546,0.00203262606313641,0.579431995787726,0,0.180272240326615,0.24029576388566,0.520823818031147,0,0.125739971467655,0.353436210501198,49.4480438787238,97.3596513782623,21
714,2016,27.9080550788641,0.6,0,1,2,2,3,1,0,0,0,1,0,0,0,1,0,0,0,785.356100467155,747.938094682943,19
714,2017,55.8567275538756,0.6,0,1,2,2,3,1,0,0,0,1,0,0,0,1,0,0,0,785.356100467155,747.938094682943,42
714,2018,53.0780776479513,0.8,0,1,2,2,3,1,0,0,0,1,0,0,0,1,0,0,0,785.356100467155,747.938094682943,46
714,2019,43.972449069783,0.8,0,1,2,2,3,1,0,0,0,1,0,0,0,1,0,0,0,785.356100467155,747.938094682943,54
714,2020,34.4329194257276,0.6,0,1,2,2,3,1,0,0,0,1,0,0,0,1,0,0,0,785.356100467155,747.938094682943,48
714,2021,31.8066119846789,0.4,0,1,2,2,3,1,0,0,0,1,0,0,0,1,0,0,0,785.356100467155,747.938094682943,38
715,2018,23.5713816462718,0.6,0,1,2,1,1,0.999999724854506,0,0,0.000000275145494232675,0.765257905137384,0,0.0219626950591815,0.195279492144419,0.749550328249528,0,0.104787575553142,0.0759075399752581,201.060234637462,99.9684119659969,20
715,2021,16.9318197195524,0.4,0,1,2,1,1,0.999999724854506,0,0,0.000000275145494232675,0.765257905137384,0,0.0219626950591815,0.195279492144419,0.749550328249528,0,0.104787575553142,0.0759075399752581,201.060234637462,99.9684119659969,34
716,2017,9.19172353873734,0.4,5,1,1,4,2,0.789536646164299,0,0,0.210463353835701,0.628915446202631,0,0,0.348560249148589,0.449712981378111,0.185697204542974,0.0415046912424149,0.316644584390563,263.603382080635,32.3722715434958,38
716,2018,22.6818717436552,0.3,5,1,1,4,2,0.789536646164299,0,0,0.210463353835701,0.628915446202631,0,0,0.348560249148589,0.449712981378111,0.185697204542974,0.0415046912424149,0.316644584390563,263.603382080635,32.3722715434958,29
716,2019,9.55196284081422,0.7,5,1,1,4,2,0.789536646164299,0,0,0.210463353835701,0.628915446202631,0,0,0.348560249148589,0.449712981378111,0.185697204542974,0.0415046912424149,0.316644584390563,263.603382080635,32.3722715434958,59
716,2020,7.78268224180213,0.3,5,1,1,4,2,0.789536646164299,0,0,0.210463353835701,0.628915446202631,0,0,0.348560249148589,0.449712981378111,0.185697204542974,0.0415046912424149,0.316644584390563,263.603382080635,32.3722715434958,58
716,2021,9.02573800038555,0.4,5,1,1,4,2,0.789536646164299,0,0,0.210463353835701,0.628915446202631,0,0,0.348560249148589,0.449712981378111,0.185697204542974,0.0415046912424149,0.316644584390563,263.603382080635,32.3722715434958,50
717,2016,30.542051086017,0.4,0,2,2,5,2,1,0,0,0,0.90857431911923,0,0,0.09142568088077,0.96296693624124,0,0,0.0370330637587599,959.476801520791,132.993216600862,15
717,2017,23.5989968565563,0.5,0,2,2,5,2,1,0,0,0,0.90857431911923,0,0,0.09142568088077,0.96296693624124,0,0,0.0370330637587599,959.476801520791,132.993216600862,49
717,2018,29.9375054400093,0.6,0,2,2,5,2,1,0,0,0,0.90857431911923,0,0,0.09142568088077,0.96296693624124,0,0,0.0370330637587599,959.476801520791,132.993216600862,50
717,2019,15.3182835058862,0.4,0,2,2,5,2,1,0,0,0,0.90857431911923,0,0,0.09142568088077,0.96296693624124,0,0,0.0370330637587599,959.476801520791,132.993216600862,52
717,2020,15.1839047318124,0.6,0,2,2,5,2,1,0,0,0,0.90857431911923,0,0,0.09142568088077,0.96296693624124,0,0,0.0370330637587599,959.476801520791,132.993216600862,121
717,2021,16.7537773735034,0.6,0,2,2,5,2,1,0,0,0,0.90857431911923,0,0,0.09142568088077,0.96296693624124,0,0,0.0370330637587599,959.476801520791,132.993216600862,87
718,2020,5.33920735170903,0.3,0,1,2,3,1,1,0,0,0,1,0,0,0,0.930409504889814,0,0,0.0695904951101861,596.698600007643,342.146673575812,26
718,2021,1.99493287050891,0.1,0,1,2,3,1,1,0,0,0,1,0,0,0,0.930409504889814,0,0,0.0695904951101861,596.698600007643,342.146673575812,10
719,2018,11.2215574056656,0.5,0,2,2,4,2,1,0,0,0,1,0,0,0,1,0,0,0,1333.47997248908,1006.7296377355,74
