"site_ID","M_YEAR","total_abund","site_rel_SR","garden_long_grass_area","garden_ivy","garden_long_grass","garden_direction","garden_size","Urban_100m","Arable_100m","Woodland_100m","Grassland_100m","Urban_250m","Arable_250m","Woodland_250m","Grassland_250m","Urban_500m","Arable_500m","Woodland_500m","Grassland_500m","n_days"
1,2020,30.1289131771551,0.25,80,2,1,4,3,0,0,0.0717199727286692,0.658879893904592,0,0,0.256131208397044,0.58541954248485,0,0,0.259160071981354,0.580791209274726,15
2,2016,85.0306435332225,0.384615384615385,350,1,1,6,4,0,0,1,0,0,0,0.730445096944897,0.0130782371034544,0,0,0.619653372183769,0.00933421651229967,22
3,2019,63.8751164959707,0.3125,400,NA,1,7,4,0,0,0,1,0,0.00000893030558966869,0.0530177408758512,0.946973328818559,0.0149206617853609,0.228046601645972,0.16306402944605,0.593968707122617,11
3,2020,42.1366657111484,0.375,400,NA,1,7,4,0,0,0,1,0,0.00000893030558966869,0.0530177408758512,0.946973328818559,0.0149206617853609,0.228046601645972,0.16306402944605,0.593968707122617,21
3,2021,201.796140758533,0.5,400,NA,1,7,4,0,0,0,1,0,0.00000893030558966869,0.0530177408758512,0.946973328818559,0.0149206617853609,0.228046601645972,0.16306402944605,0.593968707122617,15
4,2016,29.6881961977905,0.25,300,2,1,4,2,0.997959308687555,0,0,0.0020406913124454,0.889316472564879,0,0.0147759375318133,0.0959075899033079,0.967822867330447,0,0.00742125817504033,0.024755874494513,19
5,2021,67.5319361719045,0.375,0,2,2,6,2,1,0,0,0,1,0,0,0,1,0,0,0,17
6,2017,73.19479992824,0.1875,0,2,2,4,3,1,0,0,0,1,0,0,0,1,0,0,0,13
7,2018,79.9039996625262,0.461538461538462,0,1,2,7,4,1,0,0,0,0.799741739911283,0.0209758596624052,0.146245504843562,0.0330368955827494,0.539931752084582,0.106833693295616,0.209527388787053,0.143707165832748,22
8,2021,137.301139814355,0.235294117647059,5,1,1,5,4,1,0,0,0,0.874564511205519,0,0.102313521499211,0.0231219672952696,0.60177665126563,0.0000642983088868043,0.330425217387688,0.0677338330377946,9
9,2016,83.9232090003853,0.25,0,1,2,1,3,0.288185300662175,0.0030531383519706,0.261404472734875,0.44735708825098,0.298268895851596,0.157437920912353,0.181964507406934,0.296992464659975,0.198229230661108,0.169191823202598,0.164828199641794,0.22223157993681,10
10,2017,87.9966762831735,0.25,50,1,1,5,4,0.641629308050642,0.358370691949358,0,0,0.508197710506952,0.491802289493048,0,0,0.192223178588632,0.6469916384315,0.0504273847825075,0.110357798197361,31
10,2018,207.84305159111,0.45,50,1,1,5,4,0.641629308050642,0.358370691949358,0,0,0.508197710506952,0.491802289493048,0,0,0.192223178588632,0.6469916384315,0.0504273847825075,0.110357798197361,30
10,2019,172.755353799331,0.3,50,1,1,5,4,0.641629308050642,0.358370691949358,0,0,0.508197710506952,0.491802289493048,0,0,0.192223178588632,0.6469916384315,0.0504273847825075,0.110357798197361,29
10,2020,42.9942773863946,0.3,50,1,1,5,4,0.641629308050642,0.358370691949358,0,0,0.508197710506952,0.491802289493048,0,0,0.192223178588632,0.6469916384315,0.0504273847825075,0.110357798197361,21
